entity_id,stage,stage_name,prompt,negative_prompt,seed,realism_adjusted,adjustment_note,source_file
FL-EN1,1,Misiyn,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Stout, broad-shouldered humanoid, weathered bronze-toned skin taut over dense muscle, knuckles wrapped in cracked storm-scarred leather straps. Faint blue-white static crackles between clenched fingers, tiny arcs jumping skin to skin. Grounded wide stance, head tilted as if listening for distant thunder. Subtle ozone haze clings to shoulders. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 1 (juvenile): roughly human scale (5–7 ft), lean and unproven; emerging powers only hinted at in surface detail; camera at eye level.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",2883301048,False,,factionless_prompts.json
FL-EN1,2,Miseir,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Battle-hardened figure with lightning constantly arcing between clenched fists, forearms scorched dark from repeated discharge. Boots leave cracked fulgurite-glass footprints fused into the stone beneath. Heavy brow, scarred torso, storm-grey eyes lit faintly from within. Low roiling cloud shadow implied by directional cold light overhead. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 2 (elite): 8–12 ft, battle-worn and hardened; scars, layered armor-growth, visibly active power channels; slightly low camera angle conveying threat.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",2792056238,False,,factionless_prompts.json
FL-EN1,3,Misax,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Colossal thunder titan, chest a slab of scarred bronze-toned muscle wreathed in crackling electric haze, fists like forged hammers trailing forked lightning. Ground beneath cracked into hammer-shaped fulgurite scars. Storm-dark atmosphere presses low around its shoulders, fog displaced in rolling shockwaves with every step, air visibly rippling from the shockwave of unheard thunder. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 3 (apex): 20 ft and beyond, cinematic god-scale; overwhelming presence, atmosphere reacting to the body (fog displacement, ground stress); dramatic low-angle hero shot while keeping full body in frame.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",2952430752,False,,factionless_prompts.json
FL-EN2,1,Miumenel,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Slim, falcon-eyed humanoid with ember-warm bronze skin that glows faintly at the seams like banked coals. A thin solar disc of dim gold light hovers just above the brow, barely separated from the skull. Lean runner's build, alert forward-leaning stance, warm rim light along cheekbones and collarbone. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 1 (juvenile): roughly human scale (5–7 ft), lean and unproven; emerging powers only hinted at in surface detail; camera at eye level.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",2066213291,False,,factionless_prompts.json
FL-EN2,2,Miumenor,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Lean solar herald, disc now fully detached and orbiting the skull at shoulder height, throwing a thin golden corona across sharp facial angles. Skin has a dry sun-baked patina like aged bronze. Elongated shadow falls unnaturally long across the ground plane behind the figure, cast at a noon angle regardless of implied lighting. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 2 (elite): 8–12 ft, battle-worn and hardened; scars, layered armor-growth, visibly active power channels; slightly low camera angle conveying threat.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",2125617486,False,,factionless_prompts.json
FL-EN2,3,Miumenun,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Towering solar titan, a second molten-gold disc blazing low beside its head like a captive sun, corona flaring across armor-like sun-cracked skin. Twin shadows stretch from its feet at conflicting angles across the fog floor. Radiant heat-shimmer distorts the air around its silhouette, golden light overwhelming the cold studio fog. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 3 (apex): 20 ft and beyond, cinematic god-scale; overwhelming presence, atmosphere reacting to the body (fog displacement, ground stress); dramatic low-angle hero shot while keeping full body in frame.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",4079273338,False,,factionless_prompts.json
FL-EN3,1,Gorraling,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Slender softly luminous figure draped in layered translucent light like woven silk, faint glow emanating from beneath aged bronze-patina skin. Body angled slightly away from camera, shoulders drawn inward, one arm raised as if shielding the face from being seen fully. Cool internal glow contrasts the dark fog backdrop. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 1 (juvenile): roughly human scale (5–7 ft), lean and unproven; emerging powers only hinted at in surface detail; camera at eye level.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",2655747938,False,,factionless_prompts.json
FL-EN3,2,Gorradiv,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Radiant humanoid wrapped in mirror-bright woven light, surface faceted like polished bronze catching and fracturing the key light into scattered reflections across its chest and arms. Standing tall now, chin lifted, faint fractured light-glints visible on the fog around its feet, patina-dark joints anchoring the luminous drapery. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 2 (elite): 8–12 ft, battle-worn and hardened; scars, layered armor-growth, visibly active power channels; slightly low camera angle conveying threat.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",853845427,True,Original desc referenced reflections showing observers a false expression; rendered instead as a purely physical effect — light fracturing and reflecting off mirror-bright draped material.,factionless_prompts.json
FL-EN3,3,Gorrasav,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Colossal radiant titan, body a blinding sunrise-gold humanoid form wrapped in woven light-drapery, so bright its edges bloom into overexposed halo against the dark fog. Bronze-patina musculature glows from within like heated metal. Faint secondary light-ghosts linger in the air near its silhouette as harsh afterimage bloom, ground scorched pale beneath its feet. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 3 (apex): 20 ft and beyond, cinematic god-scale; overwhelming presence, atmosphere reacting to the body (fog displacement, ground stress); dramatic low-angle hero shot while keeping full body in frame.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",2471468647,True,Original desc had whispering afterimages (non-visual concept); rendered as a purely optical afterimage-bloom lighting effect instead.,factionless_prompts.json
FL-EN4,1,Briret,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Squat, sturdy humanoid wreathed in a low blue flame that clings to the skin without scorching the ground. Turquoise scale plates flicker like dying coals across thick forearms, dense compact musculature, wide stable stance. Cool blue firelight replaces the usual warm key light along one side of the body. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 1 (juvenile): roughly human scale (5–7 ft), lean and unproven; emerging powers only hinted at in surface detail; camera at eye level.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",2261044447,False,,factionless_prompts.json
